,Datetime,Tweet Id,Text,Username
124,2020-10-30 21:55:39+00:00,1.3223E+18,"That's weigh too much, u should be referring to @desmondelliot. Don't you think so.... https://t.co/BtRc8UchRn",Olamile02442211
125,2020-10-30 21:55:08+00:00,1.3223E+18,SEUN KUTI: DESMOND ELLIOT - THE MIDDLE CLASS - THE POOR AND THE OPPRESSORS https://t.co/V2CEKRSBfq via @YouTube,chol4cat
126,2020-10-30 21:53:58+00:00,1.3223E+18,"@moakabash @mojisolamacaulay @DesmondElliot_ @mrmacaronii @ayodeleadewale @APCNigeria @LagosStateHouse @lagosyouthamb @lshaofficial @followlasg 
Our Mummy Mojisola Macaulay the Lagos State House of Assembly during her birthday recently. Awon Ebi ""PalliaTh",theglobalwind
127,2020-10-30 21:53:41+00:00,1.3223E+18,"just yesterday that Desmond Elliot join politics,he has join bad gang",EttaSampson12
128,2020-10-30 21:52:08+00:00,1.3223E+18,"@DrOlufunmilayo @DamianOfoegbu There's no point stress,I don't know whether politics alter  people's brain and reasoning. Lot of youths if given opportunity will always misuse them. We have seen it in Dimeji Bankole, Yahaya Bello, Desmond Elliot, Adama Ga",silvestri_jnr
129,2020-10-30 21:52:06+00:00,1.3223E+18,"God has use the youths to bless you, you na turn your back and called us children, forgetting we eat this together way back , we are waiting for 2023 my foolish brother.#EndMilitaryBrutality Nigerian Youths #LekkiTollGateShooting #desmondelliot https://t.co/2X8eIdbm3I https://t.co/TJwGfLCa17",OjirhevweW
130,2020-10-30 21:51:57+00:00,1.3223E+18,"Desmond Elliot was Right, Let's Exercise Our Constitutional Rights Starting With Him Come 2023.
https://t.co/FrJ6Myq99X",Anichin37289488
131,2020-10-30 21:51:19+00:00,1.3223E+18,@Naija_PR Starring Desmond Elliot and detective Fash.,DaniellaUkeri
132,2020-10-30 21:50:35+00:00,1.32229E+18,@DesmondOElliot  They should name one public toilet somewhere as DESMOND ELLIOT  Toilet,babbaotu
133,2020-10-30 21:50:27+00:00,1.32229E+18,"What I’ll say to those clamoring for #SocialMediaBill in Nigeria - the Desmond Elliot gang. What actually is your purpose in the 21st Century era? Toss your gadgets 1st, let’s see!

Get your thinking caps on &amp; let’s #EndBadGovernanceInNigeria #EndSARS #EndPoliceBrutalityInNigeria https://t.co/ztXqGJHFwx",Farrahcutie
134,2020-10-30 21:48:36+00:00,1.32229E+18,@davido He is just a hoodlums @desmondelliot,keefjoemedia
135,2020-10-30 21:46:35+00:00,1.32229E+18,"@Naija_PR @dammie_king Lmao😂😂😂
A whole Desmond Elliot? 
Not you Sir, this couldn't have been done by you. 
Ahn Ahn💔😂
Wetin be this😂",BigChubss
136,2020-10-30 21:46:22+00:00,1.32229E+18,Watching Desmond Elliot's interview with @ARISEtv blaming all his House of Assembly gibberish on emotions shows he's not mature enough to hold public office. He has apologized. Please let's forgive him and help him not to hold any public office in the future @TeamDesElliot,MediaOmatt
137,2020-10-30 21:45:54+00:00,1.32229E+18,"The day Desmond Elliot dipped his hand into Nigerian politics was the beginning of his doomsday, I wish someone close to you was one of the victims of the gunshot. Anyway, this is just the beginning for you coz God knows how separate greediness from good heart...",AshayePapadee
138,2020-10-30 21:45:37+00:00,1.32229E+18,"Hope they know this is the same country they want to emulate with the social media ban.
not only is an 85 year old building standing they are fucking moving it to different location.
Note Desmond Elliot and co this is not a fucking borehole, toilet or canal 4 by 4 bridge. https://t.co/10PLMSpWA5",meetadaeze
